N,f,q,k,W,gossip_flow_recon_recall,gossip_flow_dos_recall,gossip_corrected_flow_recon_recall,gossip_corrected_flow_dos_recall,gossip_window_recon_recall,gossip_window_dos_recall,gossip_recon_fpr,gossip_dos_fpr,gossip_bandwidth,gossip_latency,indep_flow_recon_recall,indep_flow_dos_recall,indep_window_recon_recall,indep_window_dos_recall,indep_recon_fpr,indep_dos_fpr,indep_bandwidth,indep_latency,cent_flow_recon_recall,cent_flow_dos_recall,cent_window_recon_recall,cent_window_dos_recall,cent_recon_fpr,cent_dos_fpr,cent_bandwidth,cent_latency
16,2,8,16,5,0.7826,0.7664,0.5907,0.7276,0.5676,0.6088,0.2753,0.3778,0.0410,0.2800,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,0.0000,0.9863,0.9631,0.9463,0.8816,0.7093,0.5317,0.0205,0.1100
16,2,10,16,5,0.5232,0.6136,0.4477,0.6033,0.2797,0.3553,0.1588,0.2735,0.0410,0.5500,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,0.0000,0.9691,0.8948,0.8933,0.8110,0.5906,0.4985,0.0205,0.1400
16,2,12,16,5,0.2386,0.4226,0.2208,0.4214,0.0713,0.1417,0.0418,0.1984,0.0410,1.2400,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,0.0000,0.9256,0.8454,0.7973,0.7658,0.4666,0.4680,0.0205,0.1600
16,2,14,16,5,0.0149,0.0611,0.0149,0.0611,0.0025,0.0080,0.0017,0.0442,0.0410,2.3100,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,0.0000,0.8458,0.7985,0.6894,0.6953,0.3605,0.4310,0.0205,0.1600
16,2,16,16,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0410,0.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,0.0000,0.7111,0.7327,0.4703,0.5150,0.2357,0.3402,0.0205,0.4000
16,3,2,16,5,1.0000,1.0000,0.0069,0.8083,0.9994,0.9980,0.8300,0.6230,0.0615,0.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,0.0000,1.0000,1.0000,0.9994,1.0000,0.8336,0.6277,0.0205,0.0000
16,3,4,16,5,0.9957,0.9905,0.0498,0.8630,0.9754,0.9361,0.7696,0.5608,0.0615,0.0700,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,0.0000,0.9997,1.0000,0.9937,0.9900,0.8089,0.5973,0.0205,0.0100
16,3,6,16,5,0.9617,0.8890,0.4022,0.7985,0.8737,0.8024,0.5800,0.4988,0.0615,0.1500,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,0.0000,0.9940,0.9946,0.9779,0.9454,0.7750,0.5649,0.0205,0.0600
16,3,8,16,5,0.8827,0.8110,0.5861,0.7488,0.7241,0.7159,0.3861,0.4414,0.0615,0.1800,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,0.0000,0.9863,0.9631,0.9463,0.8816,0.7093,0.5317,0.0205,0.1100
16,3,10,16,5,0.7589,0.7474,0.5672,0.7075,0.5543,0.5842,0.2708,0.3641,0.0615,0.2700,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,0.0000,0.9691,0.8948,0.8933,0.8110,0.5906,0.4985,0.0205,0.1400
16,3,12,16,5,0.5426,0.6204,0.4531,0.6085,0.3049,0.3573,0.1582,0.2719,0.0615,0.5200,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,0.0000,0.9256,0.8454,0.7973,0.7658,0.4666,0.4680,0.0205,0.1600
16,3,14,16,5,0.2417,0.3996,0.2357,0.3984,0.0556,0.1397,0.0455,0.1975,0.0615,1.1400,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,0.0000,0.8458,0.7985,0.6894,0.6953,0.3605,0.4310,0.0205,0.1600
16,3,16,16,5,0.0000,0.0367,0.0000,0.0367,0.0000,0.0073,0.0014,0.0250,0.0615,2.2500,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,0.0000,0.7111,0.7327,0.4703,0.5150,0.2357,0.3402,0.0205,0.4000
